date,price
22/05/2002,1086.02002
23/05/2002,1097.079956
24/05/2002,1083.819946
28/05/2002,1074.550049
29/05/2002,1067.660034
30/05/2002,1064.660034
31/05/2002,1067.140015
03/06/2002,1040.680054
04/06/2002,1040.689941
05/06/2002,1049.900024
06/06/2002,1029.150024
07/06/2002,1027.530029
10/06/2002,1030.73999
11/06/2002,1013.599976
12/06/2002,1020.26001
13/06/2002,1009.559998
14/06/2002,1007.27002
17/06/2002,1036.170044
18/06/2002,1037.140015
19/06/2002,1019.98999
20/06/2002,1006.289978
21/06/2002,989.140015
24/06/2002,992.719971
25/06/2002,976.140015
26/06/2002,973.530029
27/06/2002,990.640015
28/06/2002,989.820007
01/07/2002,968.650024
02/07/2002,948.090027
03/07/2002,953.98999
05/07/2002,989.030029
08/07/2002,976.97998
09/07/2002,952.830017
10/07/2002,920.469971
11/07/2002,927.369995
12/07/2002,921.390015
15/07/2002,917.929993
16/07/2002,900.940002
17/07/2002,906.039978
18/07/2002,881.559998
19/07/2002,847.75
22/07/2002,819.849976
23/07/2002,797.700012
24/07/2002,843.429993
25/07/2002,838.679993
26/07/2002,852.840027
29/07/2002,898.960022
30/07/2002,902.780029
31/07/2002,911.619995
01/08/2002,884.659973
02/08/2002,864.23999
05/08/2002,834.599976
06/08/2002,859.570007
07/08/2002,876.77002
08/08/2002,905.460022
09/08/2002,908.640015
12/08/2002,903.799988
13/08/2002,884.210022
14/08/2002,919.619995
15/08/2002,930.25
16/08/2002,928.77002
19/08/2002,950.700012
20/08/2002,937.429993
21/08/2002,949.359985
22/08/2002,962.700012
23/08/2002,940.859985
26/08/2002,947.950012
27/08/2002,934.820007
28/08/2002,917.869995
29/08/2002,917.799988
30/08/2002,916.070007
03/09/2002,878.02002
04/09/2002,893.400024
05/09/2002,879.150024
06/09/2002,893.919983
09/09/2002,902.960022
10/09/2002,909.580017
11/09/2002,909.450012
12/09/2002,886.909973
13/09/2002,889.809998
16/09/2002,891.099976
17/09/2002,873.52002
18/09/2002,869.460022
19/09/2002,843.320007
20/09/2002,845.390015
23/09/2002,833.700012
24/09/2002,819.289978
25/09/2002,839.659973
26/09/2002,854.950012
27/09/2002,827.369995
30/09/2002,815.280029
01/10/2002,847.909973
02/10/2002,827.909973
03/10/2002,818.950012
04/10/2002,800.580017
07/10/2002,785.280029
08/10/2002,798.549988
09/10/2002,776.76001
10/10/2002,803.919983
11/10/2002,835.320007
14/10/2002,841.440002
15/10/2002,881.27002
16/10/2002,860.02002
17/10/2002,879.200012
18/10/2002,884.390015
21/10/2002,899.719971
22/10/2002,890.159973
23/10/2002,896.140015
24/10/2002,882.5
25/10/2002,897.650024
28/10/2002,890.22998
29/10/2002,882.150024
30/10/2002,890.710022
31/10/2002,885.76001
01/11/2002,900.960022
04/11/2002,908.349976
05/11/2002,915.390015
06/11/2002,923.76001
07/11/2002,902.650024
08/11/2002,894.73999
11/11/2002,876.190002
12/11/2002,882.950012
13/11/2002,882.530029
14/11/2002,904.27002
15/11/2002,909.830017
18/11/2002,900.359985
19/11/2002,896.73999
20/11/2002,914.150024
21/11/2002,933.76001
22/11/2002,930.549988
25/11/2002,932.869995
26/11/2002,913.309998
27/11/2002,938.869995
29/11/2002,936.309998
02/12/2002,934.530029
03/12/2002,920.75
04/12/2002,917.580017
05/12/2002,906.549988
06/12/2002,912.22998
09/12/2002,892
10/12/2002,904.450012
11/12/2002,904.960022
12/12/2002,901.580017
13/12/2002,889.47998
16/12/2002,910.400024
17/12/2002,902.98999
18/12/2002,891.119995
19/12/2002,884.25
20/12/2002,895.76001
23/12/2002,897.380005
24/12/2002,892.469971
26/12/2002,889.659973
27/12/2002,875.400024
30/12/2002,879.390015
31/12/2002,879.820007
02/01/2003,909.030029
03/01/2003,908.590027
06/01/2003,929.01001
07/01/2003,922.929993
08/01/2003,909.929993
09/01/2003,927.570007
10/01/2003,927.570007
13/01/2003,926.26001
14/01/2003,931.659973
15/01/2003,918.219971
16/01/2003,914.599976
17/01/2003,901.780029
21/01/2003,887.619995
22/01/2003,878.359985
23/01/2003,887.340027
24/01/2003,861.400024
27/01/2003,847.47998
28/01/2003,858.539978
29/01/2003,864.359985
30/01/2003,844.609985
31/01/2003,855.700012
03/02/2003,860.320007
04/02/2003,848.200012
05/02/2003,843.590027
06/02/2003,838.150024
07/02/2003,829.690002
10/02/2003,835.969971
11/02/2003,829.200012
12/02/2003,818.679993
13/02/2003,817.369995
14/02/2003,834.890015
18/02/2003,851.169983
19/02/2003,845.130005
20/02/2003,837.099976
21/02/2003,848.169983
24/02/2003,832.580017
25/02/2003,838.570007
26/02/2003,827.549988
27/02/2003,837.280029
28/02/2003,841.150024
03/03/2003,834.809998
04/03/2003,821.98999
05/03/2003,829.849976
06/03/2003,822.099976
07/03/2003,828.890015
10/03/2003,807.47998
11/03/2003,800.72998
12/03/2003,804.190002
13/03/2003,831.900024
14/03/2003,833.27002
17/03/2003,862.789978
18/03/2003,866.450012
19/03/2003,874.02002
20/03/2003,875.669983
21/03/2003,895.789978
24/03/2003,864.22998
25/03/2003,874.73999
26/03/2003,869.950012
27/03/2003,868.52002
28/03/2003,863.5
31/03/2003,848.179993
01/04/2003,858.47998
02/04/2003,880.900024
03/04/2003,876.450012
04/04/2003,878.849976
07/04/2003,879.929993
08/04/2003,878.289978
09/04/2003,865.98999
10/04/2003,871.580017
11/04/2003,868.299988
14/04/2003,885.22998
15/04/2003,890.809998
16/04/2003,879.909973
17/04/2003,893.580017
21/04/2003,892.01001
22/04/2003,911.369995
23/04/2003,919.02002
24/04/2003,911.429993
25/04/2003,898.809998
28/04/2003,914.840027
29/04/2003,917.840027
30/04/2003,916.919983
01/05/2003,916.299988
02/05/2003,930.080017
05/05/2003,926.549988
06/05/2003,934.390015
07/05/2003,929.619995
08/05/2003,920.27002
09/05/2003,933.409973
12/05/2003,945.109985
13/05/2003,942.299988
14/05/2003,939.280029
15/05/2003,946.669983
16/05/2003,944.299988
19/05/2003,920.77002
20/05/2003,919.72998
21/05/2003,923.419983
22/05/2003,931.869995
23/05/2003,933.219971
27/05/2003,951.47998
28/05/2003,953.219971
29/05/2003,949.640015
30/05/2003,963.590027
02/06/2003,967
03/06/2003,971.559998
04/06/2003,986.23999
05/06/2003,990.140015
06/06/2003,987.76001
09/06/2003,975.929993
10/06/2003,984.840027
11/06/2003,997.47998
12/06/2003,998.51001
13/06/2003,988.609985
16/06/2003,1010.73999
17/06/2003,1011.659973
18/06/2003,1010.090027
19/06/2003,994.700012
20/06/2003,995.690002
23/06/2003,981.640015
24/06/2003,983.450012
25/06/2003,975.320007
26/06/2003,985.820007
27/06/2003,976.219971
30/06/2003,974.5
01/07/2003,982.320007
02/07/2003,993.75
03/07/2003,985.700012
07/07/2003,1004.419983
08/07/2003,1007.840027
09/07/2003,1002.210022
10/07/2003,988.700012
11/07/2003,998.140015
14/07/2003,1003.859985
15/07/2003,1000.419983
16/07/2003,994.090027
17/07/2003,981.72998
18/07/2003,993.320007
21/07/2003,978.799988
22/07/2003,988.109985
23/07/2003,988.609985
24/07/2003,981.599976
25/07/2003,998.679993
28/07/2003,996.52002
29/07/2003,989.280029
30/07/2003,987.48999
31/07/2003,990.309998
01/08/2003,980.150024
04/08/2003,982.820007
05/08/2003,965.460022
06/08/2003,967.080017
07/08/2003,974.119995
08/08/2003,977.590027
11/08/2003,980.590027
12/08/2003,990.349976
13/08/2003,984.030029
14/08/2003,990.51001
15/08/2003,990.669983
18/08/2003,999.73999
19/08/2003,1002.349976
20/08/2003,1000.299988
21/08/2003,1003.27002
22/08/2003,993.059998
25/08/2003,993.710022
26/08/2003,996.72998
27/08/2003,996.789978
28/08/2003,1002.840027
29/08/2003,1008.01001
02/09/2003,1021.98999
03/09/2003,1026.27002
04/09/2003,1027.969971
05/09/2003,1021.390015
08/09/2003,1031.640015
09/09/2003,1023.169983
10/09/2003,1010.919983
11/09/2003,1016.419983
12/09/2003,1018.630005
15/09/2003,1014.809998
16/09/2003,1029.319946
17/09/2003,1025.969971
18/09/2003,1039.579956
19/09/2003,1036.300049
22/09/2003,1022.820007
23/09/2003,1029.030029
24/09/2003,1009.380005
25/09/2003,1003.27002
26/09/2003,996.849976
29/09/2003,1006.580017
30/09/2003,995.969971
01/10/2003,1018.219971
02/10/2003,1020.23999
03/10/2003,1029.849976
06/10/2003,1034.349976
07/10/2003,1039.25
08/10/2003,1033.780029
09/10/2003,1038.72998
10/10/2003,1038.060059
13/10/2003,1045.349976
14/10/2003,1049.47998
15/10/2003,1046.76001
16/10/2003,1050.069946
17/10/2003,1039.319946
20/10/2003,1044.680054
21/10/2003,1046.030029
22/10/2003,1030.359985
23/10/2003,1033.77002
24/10/2003,1028.910034
27/10/2003,1031.130005
28/10/2003,1046.790039
29/10/2003,1048.109985
30/10/2003,1046.939941
31/10/2003,1050.709961
03/11/2003,1059.02002
04/11/2003,1053.25
05/11/2003,1051.810059
06/11/2003,1058.050049
07/11/2003,1053.209961
10/11/2003,1047.109985
11/11/2003,1046.569946
12/11/2003,1058.530029
13/11/2003,1058.410034
14/11/2003,1050.349976
17/11/2003,1043.630005
18/11/2003,1034.150024
19/11/2003,1042.439941
20/11/2003,1033.650024
21/11/2003,1035.280029
24/11/2003,1052.079956
25/11/2003,1053.890015
26/11/2003,1058.449951
28/11/2003,1058.199951
01/12/2003,1070.119995
02/12/2003,1066.619995
03/12/2003,1064.72998
04/12/2003,1069.719971
05/12/2003,1061.5
08/12/2003,1069.300049
09/12/2003,1060.180054
10/12/2003,1059.050049
11/12/2003,1071.209961
12/12/2003,1074.140015
15/12/2003,1068.040039
16/12/2003,1075.130005
17/12/2003,1076.47998
18/12/2003,1089.180054
19/12/2003,1088.660034
22/12/2003,1092.939941
23/12/2003,1096.02002
24/12/2003,1094.040039
26/12/2003,1095.890015
29/12/2003,1109.47998
30/12/2003,1109.640015
31/12/2003,1111.920044
02/01/2004,1108.47998
05/01/2004,1122.219971
06/01/2004,1123.670044
07/01/2004,1126.329956
08/01/2004,1131.920044
09/01/2004,1121.859985
12/01/2004,1127.22998
13/01/2004,1121.219971
14/01/2004,1130.52002
15/01/2004,1132.050049
16/01/2004,1139.829956
20/01/2004,1138.77002
21/01/2004,1147.619995
22/01/2004,1143.939941
23/01/2004,1141.550049
26/01/2004,1155.369995
27/01/2004,1144.050049
28/01/2004,1128.47998
29/01/2004,1134.109985
30/01/2004,1131.130005
02/02/2004,1135.26001
03/02/2004,1136.030029
04/02/2004,1126.52002
05/02/2004,1128.589966
06/02/2004,1142.76001
09/02/2004,1139.810059
10/02/2004,1145.540039
11/02/2004,1157.76001
12/02/2004,1152.109985
13/02/2004,1145.810059
17/02/2004,1156.98999
18/02/2004,1151.819946
19/02/2004,1147.060059
20/02/2004,1144.109985
23/02/2004,1140.98999
24/02/2004,1139.089966
25/02/2004,1143.670044
26/02/2004,1144.910034
27/02/2004,1144.939941
01/03/2004,1155.969971
02/03/2004,1149.099976
03/03/2004,1151.030029
04/03/2004,1154.869995
05/03/2004,1156.859985
08/03/2004,1147.199951
09/03/2004,1140.579956
10/03/2004,1123.890015
11/03/2004,1106.780029
12/03/2004,1120.569946
15/03/2004,1104.48999
16/03/2004,1110.699951
17/03/2004,1123.75
18/03/2004,1122.319946
19/03/2004,1109.780029
22/03/2004,1095.400024
23/03/2004,1093.949951
24/03/2004,1091.329956
25/03/2004,1109.189941
26/03/2004,1108.060059
29/03/2004,1122.469971
30/03/2004,1127
31/03/2004,1126.209961
01/04/2004,1132.170044
02/04/2004,1141.810059
05/04/2004,1150.569946
06/04/2004,1148.160034
07/04/2004,1140.530029
08/04/2004,1139.319946
12/04/2004,1145.199951
13/04/2004,1129.439941
14/04/2004,1128.170044
15/04/2004,1128.839966
16/04/2004,1134.609985
19/04/2004,1135.819946
20/04/2004,1118.150024
21/04/2004,1124.089966
22/04/2004,1139.930054
23/04/2004,1140.599976
26/04/2004,1135.530029
27/04/2004,1138.109985
28/04/2004,1122.410034
29/04/2004,1113.890015
30/04/2004,1107.300049
03/05/2004,1117.48999
04/05/2004,1119.550049
05/05/2004,1121.530029
06/05/2004,1113.98999
07/05/2004,1098.699951
10/05/2004,1087.119995
11/05/2004,1095.449951
12/05/2004,1097.280029
13/05/2004,1096.439941
14/05/2004,1095.699951
17/05/2004,1084.099976
18/05/2004,1091.48999
19/05/2004,1088.680054
20/05/2004,1089.189941
21/05/2004,1093.560059
