PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
70519,19910823,PA,PRIMERICA CORP NEW,33.87500,-0.003676,1.284085
70519,19910826,PA,PRIMERICA CORP NEW,33.87500,0.000000,1.284085
70519,19910827,PA,PRIMERICA CORP NEW,34.37500,0.014760,1.284085
70519,19910828,PA,PRIMERICA CORP NEW,34.62500,0.007273,1.284085
70519,19910829,PA,PRIMERICA CORP NEW,33.75000,-0.025271,1.284085
70519,19910830,PA,PRIMERICA CORP NEW,33.62500,-0.003704,1.284085
70519,19910903,PA,PRIMERICA CORP NEW,33.25000,-0.011152,1.284085
70519,19910904,PA,PRIMERICA CORP NEW,33.00000,-0.007519,1.284085
70519,19910905,PA,PRIMERICA CORP NEW,32.62500,-0.011364,1.284085
70519,19910906,PA,PRIMERICA CORP NEW,32.12500,-0.015326,1.284085
70519,19910909,PA,PRIMERICA CORP NEW,32.62500,0.015564,1.284085
70519,19910910,PA,PRIMERICA CORP NEW,32.37500,-0.007663,1.284085
70519,19910911,PA,PRIMERICA CORP NEW,31.50000,-0.027027,1.284085
70519,19910912,PA,PRIMERICA CORP NEW,33.12500,0.051587,1.284085
70519,19910913,PA,PRIMERICA CORP NEW,33.00000,-0.003774,1.284085
70519,19910916,PA,PRIMERICA CORP NEW,33.75000,0.022727,1.284085
70519,19910917,PA,PRIMERICA CORP NEW,33.00000,-0.022222,1.284085
70519,19910918,PA,PRIMERICA CORP NEW,34.00000,0.030303,1.284085
70519,19910919,PA,PRIMERICA CORP NEW,33.25000,-0.022059,1.284085
70519,19910920,PA,PRIMERICA CORP NEW,33.50000,0.007519,1.284085
70519,19910923,PA,PRIMERICA CORP NEW,33.12500,-0.011194,1.284085
70519,19910924,PA,PRIMERICA CORP NEW,33.25000,0.003774,1.284085
70519,19910925,PA,PRIMERICA CORP NEW,34.25000,0.030075,1.284085
70519,19910926,PA,PRIMERICA CORP NEW,34.50000,0.007299,1.284085
70519,19910927,PA,PRIMERICA CORP NEW,35.62500,0.032609,1.284085
70519,19910930,PA,PRIMERICA CORP NEW,35.50000,-0.003509,1.284085
70519,19911001,PA,PRIMERICA CORP NEW,35.50000,0.000000,1.284085
70519,19911002,PA,PRIMERICA CORP NEW,35.87500,0.010563,1.284085
70519,19911003,PA,PRIMERICA CORP NEW,35.00000,-0.024390,1.284085
70519,19911004,PA,PRIMERICA CORP NEW,33.75000,-0.035714,1.284085
70519,19911007,PA,PRIMERICA CORP NEW,35.12500,0.040741,1.284085
70519,19911008,PA,PRIMERICA CORP NEW,34.00000,-0.032028,1.284085
70519,19911009,PA,PRIMERICA CORP NEW,33.25000,-0.022059,1.284085
70519,19911010,PA,PRIMERICA CORP NEW,34.25000,0.030075,1.284085
70519,19911011,PA,PRIMERICA CORP NEW,34.50000,0.007299,1.284085
70519,19911014,PA,PRIMERICA CORP NEW,34.87500,0.010870,1.284085
70519,19911015,PA,PRIMERICA CORP NEW,35.00000,0.003584,1.284085
70519,19911016,PA,PRIMERICA CORP NEW,35.37500,0.010714,1.284085
70519,19911017,PA,PRIMERICA CORP NEW,35.62500,0.007067,1.284085
70519,19911018,PA,PRIMERICA CORP NEW,35.37500,-0.007018,1.284085
70519,19911021,PA,PRIMERICA CORP NEW,34.25000,-0.031802,1.284085
70519,19911022,PA,PRIMERICA CORP NEW,34.50000,0.007299,1.284085
70519,19911023,PA,PRIMERICA CORP NEW,34.12500,-0.010870,1.284085
70519,19911024,PA,PRIMERICA CORP NEW,34.50000,0.010989,1.284085
70519,19911025,PA,PRIMERICA CORP NEW,34.12500,-0.010870,1.284085
70519,19911028,PA,PRIMERICA CORP NEW,35.50000,0.040293,1.284085
70519,19911029,PA,PRIMERICA CORP NEW,35.62500,0.007042,1.284085
70519,19911030,PA,PRIMERICA CORP NEW,36.00000,0.010526,1.284085
70519,19911031,PA,PRIMERICA CORP NEW,36.37500,0.010417,1.284085
70519,19911101,PA,PRIMERICA CORP NEW,36.12500,-0.006873,1.284085
70519,19911104,PA,PRIMERICA CORP NEW,36.12500,0.000000,1.284085
70519,19911105,PA,PRIMERICA CORP NEW,36.37500,0.006920,1.284085
70519,19911106,PA,PRIMERICA CORP NEW,36.25000,-0.003436,1.284085
70519,19911107,PA,PRIMERICA CORP NEW,36.75000,0.013793,1.284085
70519,19911108,PA,PRIMERICA CORP NEW,36.87500,0.003401,1.284085
70519,19911111,PA,PRIMERICA CORP NEW,36.75000,-0.003390,1.284085
70519,19911112,PA,PRIMERICA CORP NEW,37.00000,0.006803,1.284085
70519,19911113,PA,PRIMERICA CORP NEW,36.37500,-0.016892,1.284085
70519,19911114,PA,PRIMERICA CORP NEW,35.00000,-0.037801,1.284085
70519,19911115,PA,PRIMERICA CORP NEW,34.62500,-0.010714,1.284085
70519,19911118,PA,PRIMERICA CORP NEW,35.87500,0.036101,1.284085
70519,19911119,PA,PRIMERICA CORP NEW,34.62500,-0.034843,1.284085
70519,19911120,PA,PRIMERICA CORP NEW,34.75000,0.003610,1.284085
70519,19911121,PA,PRIMERICA CORP NEW,35.37500,0.017986,1.284085
70519,19911122,PA,PRIMERICA CORP NEW,34.62500,-0.021201,1.284085
70519,19911125,PA,PRIMERICA CORP NEW,33.75000,-0.025271,1.284085
70519,19911126,PA,PRIMERICA CORP NEW,34.00000,0.007407,1.284085
70519,19911127,PA,PRIMERICA CORP NEW,33.00000,-0.029412,1.284085
70519,19911129,PA,PRIMERICA CORP NEW,32.62500,-0.011364,1.284085
70519,19911202,PA,PRIMERICA CORP NEW,33.00000,0.011494,1.284085
70519,19911203,PA,PRIMERICA CORP NEW,33.25000,0.007576,1.284085
70519,19911204,PA,PRIMERICA CORP NEW,32.87500,-0.011278,1.284085
70519,19911205,PA,PRIMERICA CORP NEW,32.50000,-0.011407,1.284085
70519,19911206,PA,PRIMERICA CORP NEW,32.75000,0.007692,1.284085
70519,19911209,PA,PRIMERICA CORP NEW,32.75000,0.000000,1.284085
70519,19911210,PA,PRIMERICA CORP NEW,32.50000,-0.007634,1.284085
70519,19911211,PA,PRIMERICA CORP NEW,32.62500,0.003846,1.284085
70519,19911212,PA,PRIMERICA CORP NEW,32.62500,0.000000,1.284085
70519,19911213,PA,PRIMERICA CORP NEW,33.00000,0.011494,1.284085
70519,19911216,PA,PRIMERICA CORP NEW,33.50000,0.015152,1.284085
70519,19911217,PA,PRIMERICA CORP NEW,33.50000,0.000000,1.284085
70519,19911218,PA,PRIMERICA CORP NEW,33.37500,-0.003731,1.284085
70519,19911219,PA,PRIMERICA CORP NEW,33.25000,-0.003745,1.284085
70519,19911220,PA,PRIMERICA CORP NEW,33.87500,0.018797,1.284085
70519,19911223,PA,PRIMERICA CORP NEW,36.00000,0.062731,1.284085
70519,19911224,PA,PRIMERICA CORP NEW,36.75000,0.020833,1.284085
70519,19911226,PA,PRIMERICA CORP NEW,38.00000,0.034014,1.284085
70519,19911227,PA,PRIMERICA CORP NEW,39.37500,0.036184,1.284085
70519,19911230,PA,PRIMERICA CORP NEW,39.25000,-0.003175,1.284085
70519,19911231,PA,PRIMERICA CORP NEW,39.37500,0.003185,1.284085
70519,19920102,PA,PRIMERICA CORP NEW,39.37500,0.000000,1.284085
70519,19920103,PA,PRIMERICA CORP NEW,39.37500,0.000000,1.284085
70519,19920106,PA,PRIMERICA CORP NEW,39.25000,-0.003175,1.284085
70519,19920107,PA,PRIMERICA CORP NEW,39.00000,-0.006369,1.284085
70519,19920108,PA,PRIMERICA CORP NEW,38.75000,-0.006410,1.284085
70519,19920109,PA,PRIMERICA CORP NEW,39.12500,0.009677,1.284085
70519,19920110,PA,PRIMERICA CORP NEW,38.75000,-0.009585,1.284085
70519,19920113,PA,PRIMERICA CORP NEW,38.62500,-0.003226,1.284085
70519,19920114,PA,PRIMERICA CORP NEW,40.75000,0.055016,1.284085
70519,19920115,PA,PRIMERICA CORP NEW,40.25000,-0.012270,1.284085
70519,19920116,PA,PRIMERICA CORP NEW,40.12500,-0.003106,1.284085
70519,19920117,PA,PRIMERICA CORP NEW,41.00000,0.021807,1.284085
70519,19920120,PA,PRIMERICA CORP NEW,41.37500,0.009146,1.284085
70519,19920121,PA,PRIMERICA CORP NEW,41.37500,0.000000,1.284085
70519,19920122,PA,PRIMERICA CORP NEW,42.12500,0.018127,1.284085
70519,19920123,PA,PRIMERICA CORP NEW,42.25000,0.002967,1.284085
70519,19920124,PA,PRIMERICA CORP NEW,41.87500,-0.008876,1.284085
70519,19920127,PA,PRIMERICA CORP NEW,41.25000,-0.014925,1.284085
70519,19920128,PA,PRIMERICA CORP NEW,42.12500,0.024242,1.284085
70519,19920129,PA,PRIMERICA CORP NEW,40.37500,-0.041543,1.284085
70519,19920130,PA,PRIMERICA CORP NEW,41.25000,0.021672,1.284085
70519,19920131,PA,PRIMERICA CORP NEW,41.50000,0.006061,1.284085
70519,19920203,PA,PRIMERICA CORP NEW,40.37500,-0.027108,1.284085
70519,19920204,PA,PRIMERICA CORP NEW,40.62500,0.006192,1.284085
70519,19920205,PA,PRIMERICA CORP NEW,41.00000,0.009231,1.284085
70519,19920206,PA,PRIMERICA CORP NEW,41.00000,0.000000,1.284085
70519,19920207,PA,PRIMERICA CORP NEW,40.50000,-0.012195,1.284085
70519,19920210,PA,PRIMERICA CORP NEW,41.37500,0.021605,1.284085
70519,19920211,PA,PRIMERICA CORP NEW,40.75000,-0.015106,1.284085
70519,19920212,PA,PRIMERICA CORP NEW,41.00000,0.006135,1.284085
70519,19920213,PA,PRIMERICA CORP NEW,40.62500,-0.009146,1.284085
70519,19920214,PA,PRIMERICA CORP NEW,40.00000,-0.015385,1.284085
70519,19920218,PA,PRIMERICA CORP NEW,39.62500,-0.009375,1.284085
70519,19920219,PA,PRIMERICA CORP NEW,39.87500,0.006309,1.284085
70519,19920220,PA,PRIMERICA CORP NEW,40.25000,0.009404,1.284085
70519,19920221,PA,PRIMERICA CORP NEW,40.37500,0.003106,1.284085
70519,19920224,PA,PRIMERICA CORP NEW,39.00000,-0.034056,1.284085
70519,19920225,PA,PRIMERICA CORP NEW,39.50000,0.012821,1.284085
70519,19920226,PA,PRIMERICA CORP NEW,41.25000,0.044304,1.284085
70519,19920227,PA,PRIMERICA CORP NEW,41.50000,0.006061,1.284085
70519,19920228,PA,PRIMERICA CORP NEW,41.50000,0.000000,1.284085
70519,19920302,PA,PRIMERICA CORP NEW,41.00000,-0.012048,1.284085
70519,19920303,PA,PRIMERICA CORP NEW,41.75000,0.018293,1.284085
70519,19920304,PA,PRIMERICA CORP NEW,42.00000,0.005988,1.284085
70519,19920305,PA,PRIMERICA CORP NEW,41.50000,-0.011905,1.284085
70519,19920306,PA,PRIMERICA CORP NEW,40.25000,-0.030120,1.284085
70519,19920309,PA,PRIMERICA CORP NEW,40.00000,-0.006211,1.284085
70519,19920310,PA,PRIMERICA CORP NEW,40.00000,0.000000,1.284085
70519,19920311,PA,PRIMERICA CORP NEW,39.75000,-0.006250,1.284085
70519,19920312,PA,PRIMERICA CORP NEW,39.50000,-0.006289,1.284085
70519,19920313,PA,PRIMERICA CORP NEW,39.75000,0.006329,1.284085
70519,19920316,PA,PRIMERICA CORP NEW,39.75000,0.000000,1.284085
70519,19920317,PA,PRIMERICA CORP NEW,39.50000,-0.006289,1.284085
70519,19920318,PA,PRIMERICA CORP NEW,39.75000,0.006329,1.284085
70519,19920319,PA,PRIMERICA CORP NEW,39.62500,-0.003145,1.284085
70519,19920320,PA,PRIMERICA CORP NEW,39.37500,-0.006309,1.284085
70519,19920323,PA,PRIMERICA CORP NEW,39.25000,-0.003175,1.284085
70519,19920324,PA,PRIMERICA CORP NEW,40.00000,0.019108,1.284085
70519,19920325,PA,PRIMERICA CORP NEW,41.00000,0.025000,1.284085
70519,19920326,PA,PRIMERICA CORP NEW,41.62500,0.015244,1.284085
70519,19920327,PA,PRIMERICA CORP NEW,40.37500,-0.030030,1.284085
70519,19920330,PA,PRIMERICA CORP NEW,41.12500,0.018576,1.284085
70519,19920331,PA,PRIMERICA CORP NEW,40.25000,-0.021277,1.284085
70519,19920401,PA,PRIMERICA CORP NEW,39.87500,-0.009317,1.284085
70519,19920402,PA,PRIMERICA CORP NEW,38.37500,-0.037618,1.284085
70519,19920403,PA,PRIMERICA CORP NEW,38.50000,0.003257,1.284085
70519,19920406,PA,PRIMERICA CORP NEW,39.25000,0.019481,1.284085
70519,19920407,PA,PRIMERICA CORP NEW,37.87500,-0.035032,1.284085
70519,19920408,PA,PRIMERICA CORP NEW,37.00000,-0.023102,1.284085
70519,19920409,PA,PRIMERICA CORP NEW,37.75000,0.020270,1.284085
70519,19920410,PA,PRIMERICA CORP NEW,38.62500,0.023179,1.284085
70519,19920413,PA,PRIMERICA CORP NEW,39.50000,0.022654,1.284085
70519,19920414,PA,PRIMERICA CORP NEW,39.87500,0.009494,1.284085
70519,19920415,PA,PRIMERICA CORP NEW,38.87500,-0.025078,1.284085
70519,19920416,PA,PRIMERICA CORP NEW,39.62500,0.019293,1.284085
70519,19920420,PA,PRIMERICA CORP NEW,38.62500,-0.025237,1.284085
70519,19920421,PA,PRIMERICA CORP NEW,38.25000,-0.009709,1.284085
70519,19920422,PA,PRIMERICA CORP NEW,38.37500,0.003268,1.284085
70519,19920423,PA,PRIMERICA CORP NEW,38.50000,0.003257,1.284085
70519,19920424,PA,PRIMERICA CORP NEW,38.37500,-0.003247,1.284085
70519,19920427,PA,PRIMERICA CORP NEW,38.62500,0.006515,1.284085
70519,19920428,PA,PRIMERICA CORP NEW,38.62500,0.005178,1.284085
70519,19920429,PA,PRIMERICA CORP NEW,39.75000,0.029126,1.284085
70519,19920430,PA,PRIMERICA CORP NEW,40.62500,0.022013,1.284085
70519,19920501,PA,PRIMERICA CORP NEW,41.75000,0.027692,1.284085
70519,19920504,PA,PRIMERICA CORP NEW,41.12500,-0.014970,1.284085
70519,19920505,PA,PRIMERICA CORP NEW,40.75000,-0.009119,1.284085
70519,19920506,PA,PRIMERICA CORP NEW,40.75000,0.000000,1.284085
70519,19920507,PA,PRIMERICA CORP NEW,40.00000,-0.018405,1.284085
70519,19920508,PA,PRIMERICA CORP NEW,40.00000,0.000000,1.284085
70519,19920511,PA,PRIMERICA CORP NEW,39.87500,-0.003125,1.284085
70519,19920512,PA,PRIMERICA CORP NEW,39.62500,-0.006270,1.284085
70519,19920513,PA,PRIMERICA CORP NEW,39.25000,-0.009464,1.284085
70519,19920514,PA,PRIMERICA CORP NEW,39.37500,0.003185,1.284085
70519,19920515,PA,PRIMERICA CORP NEW,38.87500,-0.012698,1.284085
70519,19920518,PA,PRIMERICA CORP NEW,38.75000,-0.003215,1.284085
70519,19920519,PA,PRIMERICA CORP NEW,38.75000,0.000000,1.284085
70519,19920520,PA,PRIMERICA CORP NEW,38.62500,-0.003226,1.284085
70519,19920521,PA,PRIMERICA CORP NEW,38.50000,-0.003236,1.284085
70519,19920522,PA,PRIMERICA CORP NEW,38.62500,0.003247,1.284085
70519,19920526,PA,PRIMERICA CORP NEW,38.50000,-0.003236,1.284085
70519,19920527,PA,PRIMERICA CORP NEW,38.50000,0.000000,1.284085
70519,19920528,PA,PRIMERICA CORP NEW,38.50000,0.000000,1.284085
70519,19920529,PA,PRIMERICA CORP NEW,38.37500,-0.003247,1.284085
70519,19920601,PA,PRIMERICA CORP NEW,38.50000,0.003257,1.284085
70519,19920602,PA,PRIMERICA CORP NEW,38.12500,-0.009740,1.284085
70519,19920603,PA,PRIMERICA CORP NEW,37.87500,-0.006557,1.284085
70519,19920604,PA,PRIMERICA CORP NEW,37.25000,-0.016502,1.284085
70519,19920605,PA,PRIMERICA CORP NEW,37.50000,0.006711,1.284085
70519,19920608,PA,PRIMERICA CORP NEW,38.87500,0.036667,1.284085
70519,19920609,PA,PRIMERICA CORP NEW,37.25000,-0.041801,1.284085
70519,19920610,PA,PRIMERICA CORP NEW,36.87500,-0.010067,1.284085
70519,19920611,PA,PRIMERICA CORP NEW,37.37500,0.013559,1.284085
70519,19920612,PA,PRIMERICA CORP NEW,38.00000,0.016722,1.284085
70519,19920615,PA,PRIMERICA CORP NEW,38.62500,0.016447,1.284085
70519,19920616,PA,PRIMERICA CORP NEW,38.50000,-0.003236,1.284085
70519,19920617,PA,PRIMERICA CORP NEW,37.37500,-0.029221,1.284085
70519,19920618,PA,PRIMERICA CORP NEW,37.25000,-0.003344,1.284085
70519,19920619,PA,PRIMERICA CORP NEW,37.37500,0.003356,1.284085
70519,19920622,PA,PRIMERICA CORP NEW,38.00000,0.016722,1.284085
70519,19920623,PA,PRIMERICA CORP NEW,37.87500,-0.003289,1.284085
70519,19920624,PA,PRIMERICA CORP NEW,37.37500,-0.013201,1.284085
70519,19920625,PA,PRIMERICA CORP NEW,37.25000,-0.003344,1.284085
70519,19920626,PA,PRIMERICA CORP NEW,37.62500,0.010067,1.284085
70519,19920629,PA,PRIMERICA CORP NEW,39.12500,0.039867,1.284085
70519,19920630,PA,PRIMERICA CORP NEW,38.37500,-0.019169,1.284085
70519,19920701,PA,PRIMERICA CORP NEW,39.50000,0.029316,1.284085
70519,19920702,PA,PRIMERICA CORP NEW,39.12500,-0.009494,1.284085
70519,19920706,PA,PRIMERICA CORP NEW,39.87500,0.019169,1.284085
70519,19920707,PA,PRIMERICA CORP NEW,38.50000,-0.034483,1.284085
70519,19920708,PA,PRIMERICA CORP NEW,38.75000,0.006494,1.284085
70519,19920709,PA,PRIMERICA CORP NEW,39.37500,0.016129,1.284085
70519,19920710,PA,PRIMERICA CORP NEW,39.62500,0.006349,1.284085
70519,19920713,PA,PRIMERICA CORP NEW,39.12500,-0.012618,1.284085
70519,19920714,PA,PRIMERICA CORP NEW,40.87500,0.044728,1.284085
70519,19920715,PA,PRIMERICA CORP NEW,41.25000,0.009174,1.284085
70519,19920716,PA,PRIMERICA CORP NEW,41.25000,0.000000,1.284085
70519,19920717,PA,PRIMERICA CORP NEW,40.62500,-0.015152,1.284085
70519,19920720,PA,PRIMERICA CORP NEW,40.62500,0.000000,1.284085
70519,19920721,PA,PRIMERICA CORP NEW,41.62500,0.024615,1.284085
70519,19920722,PA,PRIMERICA CORP NEW,41.50000,-0.003003,1.284085
70519,19920723,PA,PRIMERICA CORP NEW,41.62500,0.003012,1.284085
70519,19920724,PA,PRIMERICA CORP NEW,41.25000,-0.009009,1.284085
70519,19920727,PA,PRIMERICA CORP NEW,41.12500,-0.003030,1.284085
70519,19920728,PA,PRIMERICA CORP NEW,42.00000,0.026140,1.284085
70519,19920729,PA,PRIMERICA CORP NEW,43.00000,0.023810,1.284085
70519,19920730,PA,PRIMERICA CORP NEW,43.25000,0.005814,1.284085
70519,19920731,PA,PRIMERICA CORP NEW,44.00000,0.017341,1.284085
70519,19920803,PA,PRIMERICA CORP NEW,43.87500,-0.002841,1.284085
70519,19920804,PA,PRIMERICA CORP NEW,43.75000,-0.002849,1.284085
70519,19920805,PA,PRIMERICA CORP NEW,43.75000,0.000000,1.284085
70519,19920806,PA,PRIMERICA CORP NEW,44.00000,0.005714,1.284085
70519,19920807,PA,PRIMERICA CORP NEW,42.87500,-0.025568,1.284085
70519,19920810,PA,PRIMERICA CORP NEW,43.00000,0.002915,1.284085
70519,19920811,PA,PRIMERICA CORP NEW,43.25000,0.005814,1.284085
70519,19920812,PA,PRIMERICA CORP NEW,42.50000,-0.017341,1.284085
70519,19920813,PA,PRIMERICA CORP NEW,42.25000,-0.005882,1.284085
70519,19920814,PA,PRIMERICA CORP NEW,42.62500,0.008876,1.284085
70519,19920817,PA,PRIMERICA CORP NEW,43.12500,0.011730,1.284085
70519,19920818,PA,PRIMERICA CORP NEW,43.00000,-0.002899,1.284085
70519,19920819,PA,PRIMERICA CORP NEW,42.50000,-0.011628,1.284085
70519,19920820,PA,PRIMERICA CORP NEW,42.12500,-0.008824,1.284085
70519,19920821,PA,PRIMERICA CORP NEW,41.50000,-0.014837,1.284085
70519,19920824,PA,PRIMERICA CORP NEW,40.50000,-0.024096,1.284085
70519,19920825,PA,PRIMERICA CORP NEW,40.75000,0.006173,1.284085
70519,19920826,PA,PRIMERICA CORP NEW,40.62500,-0.003067,1.284085
70519,19920827,PA,PRIMERICA CORP NEW,41.25000,0.015385,1.284085
70519,19920828,PA,PRIMERICA CORP NEW,40.75000,-0.012121,1.284085
70519,19920831,PA,PRIMERICA CORP NEW,39.75000,-0.024540,1.284085
70519,19920901,PA,PRIMERICA CORP NEW,40.87500,0.028302,1.284085
70519,19920902,PA,PRIMERICA CORP NEW,40.87500,0.000000,1.284085
70519,19920903,PA,PRIMERICA CORP NEW,40.75000,-0.003058,1.284085
70519,19920904,PA,PRIMERICA CORP NEW,40.50000,-0.006135,1.284085
70519,19920908,PA,PRIMERICA CORP NEW,40.12500,-0.009259,1.284085
70519,19920909,PA,PRIMERICA CORP NEW,39.87500,-0.006231,1.284085
70519,19920910,PA,PRIMERICA CORP NEW,41.50000,0.040752,1.284085
70519,19920911,PA,PRIMERICA CORP NEW,40.62500,-0.021084,1.284085
70519,19920914,PA,PRIMERICA CORP NEW,42.50000,0.046154,1.284085
70519,19920915,PA,PRIMERICA CORP NEW,41.25000,-0.029412,1.284085
